,elbow_joint,shoulder_joint,base_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,
position,-0.144424,-1.9813,0.401462,-0.300911,-0.297943,-0.331832,
velocity,0,0,0,0,0,0,
effort,0.547002,1.63428,-0.145718,0.20283,0.00305008,-0.00152504,
position,-0.144424,-1.9813,0.401462,-0.300911,-0.297943,-0.331832,
velocity,0,0,0,0,0,0,
effort,0.540276,1.62755,-0.163652,0.164704,0.0198255,0.0183005,
position,-0.144424,-1.9813,0.401462,-0.300911,-0.297943,-0.331832,
velocity,0,0,0,0,0,0,
effort,0.562694,1.63428,-0.14796,0.147929,0.0122003,0,
position,-0.144424,-1.9813,0.401462,-0.300911,-0.297943,-0.331832,
velocity,0,0,0,0,0,0,
effort,0.538035,1.62083,-0.16141,0.150979,0.00457512,-0.0106753,
position,-0.144424,-1.9813,0.401462,-0.300911,-0.297943,-0.331832,
velocity,0,0,0,0,0,0,
effort,0.555969,1.6298,-0.134509,0.167755,0.00762521,-0.00152504,
position,-0.144424,-1.9813,0.401462,-0.300911,-0.297943,-0.331832,
velocity,0,0,0,0,0,0,
effort,0.522342,1.64773,-0.170378,0.164704,0.00305008,-0.00457512,
position,-0.144424,-1.9813,0.401462,-0.300911,-0.297943,-0.331832,
velocity,0,0,0,0,0,0,
effort,0.54476,1.61859,-0.145718,0.128103,0.00915025,-0.00457512,
position,-0.144424,-1.9813,0.401462,-0.300911,-0.297943,-0.331832,
velocity,0,0,0,0,0,0,
effort,0.524584,1.64773,-0.163652,0.158604,0.00915025,0.0106753,
position,-0.144424,-1.9813,0.401462,-0.300911,-0.297943,-0.331832,
velocity,0,0,0,0,0,0,
effort,0.553727,1.62307,-0.152443,0.141829,0.0198255,0.00457512,
position,-0.144424,-1.9813,0.401462,-0.300911,-0.297943,-0.331832,
velocity,0,0,0,0,0,0,
effort,0.564936,1.63428,-0.156927,0.192155,0.00152504,-0.00152504,
position,-0.144424,-1.9813,0.401462,-0.300911,-0.297943,-0.331832,
velocity,0,0,0,0,0,0,
effort,0.531309,1.64101,-0.174861,0.18758,0.00762521,0.0106753,
position,-0.144424,-1.9813,0.401462,-0.300911,-0.297943,-0.331832,
velocity,0,0,0,0,0,0,
effort,0.538035,1.64101,-0.143476,0.170805,0.00762521,0.00457512,
position,-0.144424,-1.9813,0.401462,-0.300911,-0.297943,-0.331832,
velocity,0,0,0,0,0,0,
effort,0.540276,1.65221,-0.154685,0.152504,-0.00610016,0.00457512,
position,-0.144424,-1.9813,0.401462,-0.300911,-0.297943,-0.331832,
velocity,0,0,0,0,0,0,
effort,0.540276,1.63652,-0.168136,0.192155,0.0137254,0,
position,-0.144424,-1.9813,0.401462,-0.300911,-0.297943,-0.331832,
velocity,0,0,0,0,0,0,
effort,0.526826,1.66791,-0.150201,0.167755,0.0167755,-0.00305008,
position,-0.144424,-1.9813,0.401462,-0.300911,-0.297943,-0.331832,
velocity,0,0,0,0,0,0,
effort,0.526826,1.66791,-0.150201,0.167755,0.0167755,-0.00305008,
position,-0.144424,-1.9813,0.401462,-0.300911,-0.297943,-0.331832,
velocity,0,0,0,0,0,0,
effort,0.540276,1.62531,-0.154685,0.207406,-0.00610016,0.00762521,
position,-0.144424,-1.9813,0.401462,-0.300911,-0.297943,-0.331832,
velocity,0,0,0,0,0,0,
effort,0.540276,1.62755,-0.150201,0.160129,0.0122003,0.00915025,
position,-0.144424,-1.9813,0.401462,-0.300911,-0.297943,-0.331832,
velocity,0,0,0,0,0,0,
effort,0.522342,1.63204,-0.156927,0.158604,0.00762521,0.00152504,
position,-0.144424,-1.9813,0.401462,-0.300911,-0.297943,-0.331832,
velocity,0,0,0,0,0,0,
effort,0.567178,1.6298,-0.16141,0.152504,0,0.00457512,
position,-0.144424,-1.9813,0.401462,-0.300911,-0.297943,-0.331832,
velocity,0,0,0,0,0,0,
effort,0.538035,1.63652,-0.16141,0.19368,0.0213506,0.00610016,
position,-0.144424,-1.9813,0.401462,-0.300911,-0.297943,-0.331832,
velocity,0,0,0,0,0,0,
effort,0.542518,1.63652,-0.145718,0.160129,0.0106753,-0.00610016,
position,-0.144424,-1.9813,0.401462,-0.300911,-0.297943,-0.331832,
velocity,0,0,0,0,0,0,
effort,0.533551,1.63428,-0.1233,0.179955,0.00610016,0.0106753,
